Time    Ener
755060  5.77
756665  1.27
757542  2.75
757953  4.74
760161  1.27
762592  2.11
763390  3.86
764728  2.14
767788  1.90
768868  2.14
769321  0.92
770458  0.47
772326  2.76
773451  1.31
776730  1.02
778517  0.95
844915  1.98
850704  4.65
858899  1.84
864527  1.68
864581  0.91
864744  3.36
865331  1.36
868586  1.67
869515  1.41
812230  1.85
813063  0.81
814501  2.70
818245  3.83
820086  0.77
820186  1.45
821528  2.27
830266  1.60
834553  1.54
836777  1.18
839268  0.89
839522  2.91
840691  2.01
842689  1.43
843037  2.68
844733  0.87
